709284, sox_testgroup1_us-testserver01, 735bacd6-1d7f-4675-b8f8-3cde81628090, 3, 2016-05-23T20:16:33Z, 2016-05-23T20:17:37Z, ACTIVE
709284, sox_testgroup1_us-testserver02, fc212d87-2035-4c31-9a85-f30e07320d88, 3, 2016-05-23T20:16:34Z, 2016-05-23T20:17:35Z, ACTIVE
709284, sox_testgroup1_us-testserver01, 735bacd6-1d7f-4675-b8f8-3cde81628090, 4, 2016-05-23T20:16:33Z, 2016-05-23T20:30:42Z, ACTIVE
709284, sox_testgroup1_us-testserver02, fc212d87-2035-4c31-9a85-f30e07320d88, 5, 2016-05-23T20:16:34Z, 2016-05-23T20:30:42Z, ACTIVE
709284, sox_testgroup1_us-testserver01, 735bacd6-1d7f-4675-b8f8-3cde81628090, 4, 2016-05-23T20:16:33Z, 2016-05-23T21:41:37Z, DELETED
709284, sox_testgroup1_us-testserver02, fc212d87-2035-4c31-9a85-f30e07320d88, 5, 2016-05-23T20:16:34Z, 2016-05-23T21:41:37Z, DELETED
